Day;Hour;Secular_Holiday;Religious_holiday;Sports;TV_Media;Weather_transport;AirTempMLM;AirTempSTHLM;precipitationMLM;precipitationSTHLM;RainMLM2;RainSTHLM2;D_precipitationMLM;D_precipitationSTHLM;D_AirTempMLM;D_AirTempSTHLM;D_precipitationMLM2;D_precipitationSTHLM2;D_AirTempMLM2;D_AirTempSTHLM2;MY;StandSize;AirTempMLM2;AirTempSTHLM2
3;0;0;0;0;0;0;12.2;11.6;0;0;0;0;0;0;-.5;.0999999999999996;0;0;.25;.0099999999999999;201606;-1.5672314;148.84;134.56
4;0;0;0;0;0;0;14.2;13.6;0;0;0;0;-.2;0;-.1000000000000014;0;.04;0;.0100000000000003;0;201606;-1.5822699;201.64;184.96001
5;0;0;0;0;0;0;13;12.6;0;.9;0;.8100000000000001;0;.9;-.8000000000000007;0;0;.8100000000000001;.6400000000000011;0;201606;-1.5265199;169;158.75999
6;0;0;0;0;0;0;15.3;12.7;0;.9;0;.8100000000000001;-.1;-2.1;0;.1999999999999993;.01;4.41;0;.0399999999999997;201606;-1.3136652;234.09;161.28999
7;0;0;0;0;0;0;14.7;12.3;0;.1;0;.01;0;0;.2999999999999989;.1000000000000014;0;0;.0899999999999994;.0100000000000003;201606;-1.2777162;216.09;151.28999
1;0;0;0;0;0;0;14;12.9;0;0;0;0;0;0;0;-.5;0;0;0;.25;201606;-1.5365024;196;166.41
2;0;0;0;0;0;0;15.4;12.4;0;0;0;0;0;0;-.5;-.0999999999999996;0;0;.25;.0099999999999999;201606;-1.4977839;237.16;153.75999
3;0;0;0;1;0;0;11.4;13.7;0;0;0;0;0;0;-.1999999999999993;0;0;0;.0399999999999997;0;201606;-1.5135493;129.96001;187.69
4;0;0;0;0;0;0;15.3;15.9;0;0;0;0;0;-.2;-.5999999999999996;.2000000000000011;0;.04;.3599999999999996;.0400000000000004;201606;-1.4809103;234.09;252.81
5;0;0;0;0;0;0;19.3;15.6;.2;1.4;.04;1.96;-.4999999999999999;1.1;0;-.9000000000000004;.2499999999999999;1.21;0;.8100000000000006;201606;-1.452523;372.48999;243.36
6;0;1;0;0;0;0;18.9;14.6;.1;0;.01;0;-10.9;0;-.5;-.0999999999999996;118.81;0;.25;.0099999999999999;201606;-1.4012854;357.20999;213.16
7;0;0;0;0;0;0;19.3;16.5;0;0;0;0;0;0;.6999999999999993;-.1000000000000014;0;0;.489999999999999;.0100000000000003;201606;-1.3243439;372.48999;272.25
1;0;0;0;1;0;0;14.4;15.5;0;0;0;0;0;0;-.1999999999999993;-1;0;0;.0399999999999997;1;201606;-1.5169407;207.36;240.25
2;0;0;0;0;0;0;16.1;13.7;0;0;0;0;-.1;0;-.0999999999999979;-.7000000000000011;.01;0;.0099999999999996;.4900000000000015;201606;-1.5066406;259.20999;187.69
3;0;0;0;0;0;0;12.5;13.2;0;0;0;0;0;0;-.6999999999999993;-.8000000000000007;0;0;.489999999999999;.6400000000000011;201606;-1.5220042;156.25;174.24001
4;0;0;0;0;0;0;15.1;14.9;0;0;0;0;0;0;-.5999999999999996;-.4000000000000004;0;0;.3599999999999996;.1600000000000003;201606;-1.487233;228.00999;222.00999
5;0;0;0;0;0;0;15.4;16.1;0;0;0;0;0;0;.5;.2000000000000011;0;0;.25;.0400000000000004;201607;-1.4761124;237.16;259.20999
6;0;0;0;0;0;0;16.9;16.4;0;0;0;0;0;0;.5999999999999979;-.1000000000000014;0;0;.3599999999999974;.0100000000000003;201607;-1.3220625;285.60999;268.95999
7;0;0;0;1;0;0;13.7;13.4;0;0;0;0;0;0;.5999999999999996;-.0999999999999996;0;0;.3599999999999996;.0099999999999999;201607;-1.3088658;187.69;179.56
1;0;0;0;0;0;0;13.7;12.2;0;0;0;0;0;0;-.6000000000000014;-.4000000000000004;0;0;.3600000000000017;.1600000000000003;201607;-1.5416865;187.69;148.84
2;0;0;0;0;0;0;13.8;12;0;0;0;0;0;0;.1000000000000014;-.3000000000000007;0;0;.0100000000000003;.0900000000000004;201607;-1.5299113;190.44;144
3;0;0;0;0;0;0;15.3;12.5;0;0;0;0;0;0;-.1999999999999993;-.3000000000000007;0;0;.0399999999999997;.0900000000000004;201607;-1.5214804;234.09;156.25
4;0;0;0;0;0;0;13.7;12.8;0;0;0;0;0;0;0;-.5;0;0;0;.25;201607;-1.4907955;187.69;163.84
5;0;0;0;0;0;0;16.3;12.4;0;0;0;0;0;0;-.0999999999999979;-1.9;0;0;.0099999999999996;3.610000000000001;201607;-1.4957111;265.69;153.75999
6;0;0;0;0;0;0;14;14.4;.5;0;.25;0;-3.8;0;-.1999999999999993;-.4000000000000004;14.44;0;.0399999999999997;.1600000000000003;201607;-1.4066498;196;207.36
7;0;0;0;1;0;0;16;14.2;0;0;0;0;0;0;-.1000000000000014;.0999999999999996;0;0;.0100000000000003;.0099999999999999;201607;-1.3258746;256;201.64
1;0;0;0;0;0;0;17.6;15.7;11;0;121;0;10;0;-.0999999999999979;.0999999999999996;100;0;.0099999999999996;.0099999999999999;201607;-1.5544791;309.76001;246.49001
2;0;0;0;0;0;0;16.9;15.5;0;0;0;0;0;0;-.6000000000000014;-.6000000000000014;0;0;.3600000000000017;.3600000000000017;201607;-1.5305322;285.60999;240.25
3;0;0;0;0;0;0;15.1;14.9;0;0;0;0;0;0;-.5;-.5;0;0;.25;.25;201607;-1.5273352;228.00999;222.00999
4;0;0;0;0;0;0;15.1;14.5;0;0;0;0;0;0;-.5999999999999996;-.0999999999999996;0;0;.3599999999999996;.0099999999999999;201607;-1.5387701;228.00999;210.25
